id,tipo,anio,mesnom,mes,valor
2,Exportaciones,2006,SEPTIEMBRE,9,3367042000
2,Exportaciones,2006,OCTUBRE,10,3549327000
2,Exportaciones,2006,NOVIEMBRE,11,3416562000
2,Exportaciones,2006,DICIEMBRE,12,3270074000
2,Exportaciones,2007,ENERO,1,2458847000
2,Exportaciones,2007,FEBRERO,2,2886818000
2,Exportaciones,2007,MARZO,3,3644960000
2,Exportaciones,2007,ABRIL,4,3076394000
2,Exportaciones,2007,MAYO,5,3563213000
2,Exportaciones,2007,JUNIO,6,3962131000
2,Exportaciones,2007,JULIO,7,3166436000
2,Exportaciones,2007,AGOSTO,8,4129278000
2,Exportaciones,2007,SEPTIEMBRE,9,3945605000
2,Exportaciones,2007,OCTUBRE,10,4121618000
2,Exportaciones,2007,NOVIEMBRE,11,3673712000
2,Exportaciones,2007,DICIEMBRE,12,3269700000
2,Exportaciones,2008,ENERO,1,3069302000
2,Exportaciones,2008,FEBRERO,2,3631759000
2,Exportaciones,2008,MARZO,3,3702572000
2,Exportaciones,2008,ABRIL,4,3793635000
2,Exportaciones,2008,MAYO,5,3839046000
2,Exportaciones,2008,JUNIO,6,3755820000
2,Exportaciones,2008,JULIO,7,3313069000
2,Exportaciones,2008,AGOSTO,8,3647197000
2,Exportaciones,2008,SEPTIEMBRE,9,3480517000
2,Exportaciones,2008,OCTUBRE,10,4172403000
2,Exportaciones,2008,NOVIEMBRE,11,3340877000
2,Exportaciones,2008,DICIEMBRE,12,3075412000
2,Exportaciones,2009,ENERO,1,1618969000
2,Exportaciones,2009,FEBRERO,2,2145570000
